case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,PlanExecute,Adversarial,medium,2,4,3,4,67.5,66.7,True,True,,False,,67.2,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,22553,,76.4,0,,83.8,83.8,79.02,0.8858
CASE_001,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,22517,42.55,91.4,0,,98.3,98.3,78.94,1.1766
CASE_001,PlanExecute,Adversarial,medium,2,4,5,4,82.5,100.0,True,True,,True,,89.5,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,22517,54.15,71.8,0,,90.7,90.7,78.94,1.0246
CASE_002,PlanExecute,Adversarial,hard,3,4,5,5,87.5,100.0,True,,,True,,92.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,17329,,100.0,0,,97.4,97.4,60.16,2.3204
CASE_002,PlanExecute,Adversarial,hard,3,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22996,48.44,100.0,0,,100.0,100.0,79.98,2.2002
CASE_002,PlanExecute,Adversarial,hard,3,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,23006,51.05,100.0,0,,100.0,100.0,80.0,2.2
CASE_015,PlanExecute,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22219,,52.5,0,,85.8,85.8,78.29,0.0751
CASE_015,PlanExecute,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22263,43.01,48.8,0,,85.1,85.1,78.39,0.0671
CASE_015,PlanExecute,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22214,40.37,52.0,0,,85.7,85.7,78.28,0.0742
CASE_075,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13752,,84.9,0,,97.0,97.0,72.39,0.2461
CASE_075,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13839,26.42,79.5,0,,95.9,95.9,72.58,0.2332
CASE_075,PlanExecute,Adversarial,easy,1,,,,0.0,100.0,True,True,,,,40.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13839,27.4,76.6,0,,74.3,74.3,72.58,0.0172
CASE_090,PlanExecute,Adversarial,medium,2,5,4,5,92.5,100.0,True,True,,True,,95.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13970,,100.0,0,,98.4,98.4,72.86,1.2394
CASE_090,PlanExecute,Adversarial,medium,2,3,5,5,75.0,100.0,True,True,,True,,85.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13970,26.24,100.0,0,,94.8,94.8,72.86,1.1674
CASE_090,PlanExecute,Adversarial,medium,2,4,4,5,80.0,100.0,True,True,,True,,88.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,14008,30.13,100.0,0,,95.8,95.8,72.94,1.1866
CASE_141,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13777,,84.7,0,,96.9,96.9,72.44,0.2446
CASE_141,PlanExecute,Adversarial,easy,1,5,5,3,90.0,100.0,True,True,,True,,94.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13777,29.91,70.2,0,,91.9,91.9,72.44,0.1946
CASE_141,PlanExecute,Adversarial,easy,1,5,5,4,95.0,100.0,True,True,,True,,97.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13777,30.02,70.0,0,,92.9,92.9,72.44,0.2046
