case_id,agent_type,persona_type,difficulty,v_i,s_agent,s_efficiency,total_tokens,n_llm_calls,n_tool_calls,proxy_cost,net_value,delta_mb
CASE_001,PlanExecute,Adversarial,medium,2,80.6,60.6,22553,4,0,49.7,1.115,-0.0889
CASE_001,PlanExecute,Polite,medium,2,94.6,80.7,16936,3,0,37.3,1.519,0.1009
CASE_001,PlanExecute,VIP,medium,2,92.2,77.0,17751,3,0,38.38,1.4602,-0.0318
CASE_001,ReAct,Adversarial,medium,2,76.2,62.6,21816,3,3,58.73,0.9367,-0.2672
CASE_001,ReAct,Polite,medium,2,88.3,87.6,15601,2,2,40.55,1.3605,-0.0576
CASE_001,ReAct,VIP,medium,2,87.9,85.2,16045,2,2,41.13,1.3467,-0.1453
CASE_001,Reflection,Adversarial,medium,2,88.5,53.2,25668,3,0,48.8,1.282,0.0781
CASE_001,Reflection,Polite,medium,2,94.8,73.9,18490,2,0,34.35,1.5525,0.1344
CASE_001,Reflection,VIP,medium,2,94.4,72.2,18934,2,0,34.94,1.5386,0.0466
CASE_001,Single-slot,Adversarial,medium,2,86.1,67.1,20355,4,1,51.81,1.2039,0.0
CASE_001,Single-slot,Polite,medium,2,92.2,100.0,13360,3,2,42.59,1.4181,0.0
CASE_001,Single-slot,VIP,medium,2,93.8,97.8,13972,3,1,38.4,1.492,0.0
CASE_002,PlanExecute,Adversarial,hard,3,97.4,100.0,17329,3,0,37.82,2.5438,0.5207
CASE_002,PlanExecute,Polite,hard,3,97.4,100.0,22088,4,0,49.09,2.4311,0.1378
CASE_002,PlanExecute,VIP,hard,3,92.0,86.1,29162,5,0,63.41,2.1259,-0.287
CASE_002,ReAct,Adversarial,hard,3,75.7,78.2,32114,4,4,82.29,1.4481,-0.575
CASE_002,ReAct,Polite,hard,3,78.1,98.0,25619,3,3,63.74,1.7056,-0.5877
CASE_002,ReAct,VIP,hard,3,87.8,95.1,26397,2,2,54.76,2.0864,-0.3265
CASE_002,Reflection,Adversarial,hard,3,89.5,66.1,37966,4,0,70.0,1.985,-0.0381
CASE_002,Reflection,Polite,hard,3,93.9,82.5,30418,3,0,55.06,2.2664,-0.0269
CASE_002,Reflection,VIP,hard,3,96.1,80.5,31196,2,0,51.08,2.3722,-0.0407
CASE_002,Single-slot,Adversarial,hard,3,92.4,82.9,30292,6,1,74.89,2.0231,0.0
CASE_002,Single-slot,Polite,hard,3,95.8,100.0,25109,5,0,58.07,2.2933,0.0
CASE_002,Single-slot,VIP,hard,3,92.7,100.0,16559,3,0,36.81,2.4129,0.0
CASE_015,PlanExecute,Adversarial,easy,1,85.6,51.4,22219,4,0,49.26,0.3634,-0.1202
CASE_015,PlanExecute,Polite,easy,1,85.8,84.0,13604,3,1,37.92,0.4788,-0.2208
CASE_015,PlanExecute,VIP,easy,1,89.4,78.6,14535,3,1,39.14,0.5026,-0.172
CASE_015,ReAct,Adversarial,easy,1,64.6,35.6,32065,4,4,82.23,-0.1763,-0.6599
CASE_015,ReAct,Polite,easy,1,72.6,44.4,25707,3,3,63.86,0.0874,-0.6122
CASE_015,ReAct,VIP,easy,1,72.4,43.2,26444,3,3,64.83,0.0757,-0.5989
CASE_015,Reflection,Adversarial,easy,1,84.3,44.6,25624,3,0,48.75,0.3555,-0.1281
CASE_015,Reflection,Polite,easy,1,92.4,61.8,18496,2,0,34.36,0.5804,-0.1192
CASE_015,Reflection,VIP,easy,1,86.8,60.1,19002,2,0,35.03,0.5177,-0.1569
CASE_015,Single-slot,Adversarial,easy,1,92.5,62.3,18331,3,1,44.14,0.4836,0.0
CASE_015,Single-slot,Polite,easy,1,100.0,100.0,11423,2,1,30.04,0.6996,0.0
CASE_015,Single-slot,VIP,easy,1,98.6,93.2,12258,2,1,31.14,0.6746,0.0
CASE_075,PlanExecute,Adversarial,easy,1,96.6,83.1,13752,3,1,38.11,0.5849,-0.0574
CASE_075,PlanExecute,Polite,easy,1,94.2,100.0,8789,2,1,26.57,0.6763,-0.0248
CASE_075,PlanExecute,VIP,easy,1,100.0,100.0,9205,2,1,27.12,0.7288,-0.0185
CASE_075,ReAct,Adversarial,easy,1,74.2,52.4,21785,3,3,58.69,0.1551,-0.4872
CASE_075,ReAct,Polite,easy,1,78.1,73.0,15643,2,2,40.6,0.375,-0.3261
