case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
OOS_001,PlanExecute,Adversarial,hard,1,2,2,4,35.0,50.0,True,False,,,,41.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,24537,46.81,100.0,0,,67.2,67.2,25.33,0.4187
OOS_002,PlanExecute,Adversarial,hard,1,1,1,3,10.0,100.0,True,,,,,46.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,24270,45.25,100.0,0,,69.7,69.7,25.27,0.4443
OOS_003,PlanExecute,Adversarial,hard,1,1,1,2,5.0,100.0,True,,,,,43.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,24339,44.5,100.0,0,,68.2,68.2,25.28,0.4292
OOS_004,PlanExecute,Adversarial,hard,1,2,2,4,35.0,100.0,True,,,,,61.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,24164,44.08,100.0,0,,77.2,77.2,25.25,0.5195
OOS_005,PlanExecute,Adversarial,hard,1,1,1,3,10.0,100.0,True,,,,,46.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,24148,44.32,100.0,0,,69.7,69.7,25.24,0.4446
OOS_006,PlanExecute,Adversarial,medium,1,1,1,4,15.0,100.0,True,,,,,49.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,24188,43.33,100.0,0,,71.2,71.2,25.25,0.4595
OOS_007,PlanExecute,Adversarial,medium,1,1,1,2,5.0,100.0,True,,,,,43.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,24248,44.1,100.0,0,,68.2,68.2,25.26,0.4294
OOS_008,PlanExecute,Adversarial,medium,1,1,1,2,5.0,100.0,True,,,,,43.0,0.667,1.0,1.0,83.3,apply_refund|query_order,query_order,True,True,True,True,100.0,24035,43.29,100.0,0,,68.2,68.2,25.22,0.4298
OOS_009,PlanExecute,Adversarial,medium,1,1,1,4,15.0,100.0,True,,,,,49.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,23947,43.86,100.0,0,,71.2,71.2,25.2,0.46
OOS_010,PlanExecute,Adversarial,medium,1,2,2,3,30.0,100.0,True,,,,,58.0,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,24235,45.6,100.0,0,,75.7,75.7,25.26,0.5044
OOS_011,PlanExecute,Adversarial,easy,1,1,1,2,5.0,100.0,True,,,,,43.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,23851,42.98,100.0,0,,68.2,68.2,25.18,0.4302
OOS_012,PlanExecute,Adversarial,easy,1,2,2,4,35.0,100.0,True,,,,,61.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,29597,51.46,100.0,0,,80.5,80.5,31.42,0.4908
OOS_013,PlanExecute,Adversarial,easy,1,2,2,4,35.0,100.0,True,,,,,61.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,29800,45.93,100.0,0,,80.5,80.5,31.47,0.4903
OOS_014,PlanExecute,Adversarial,easy,1,1,1,2,5.0,100.0,True,,,,,43.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,24080,43.24,100.0,0,,68.2,68.2,25.23,0.4297
OOS_015,PlanExecute,Adversarial,easy,1,1,1,2,5.0,100.0,,,,,,43.0,0.667,0.0,0.0,33.3,query_order,query_order|track_shipping,True,True,True,True,100.0,44286,73.13,75.8,0,,53.3,53.3,44.61,0.0869
OOS_016,PlanExecute,Adversarial,hard,1,3,2,4,47.5,100.0,True,True,,,,68.5,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,23657,41.14,100.0,0,,80.9,80.9,25.14,0.5576
OOS_017,PlanExecute,Adversarial,hard,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,15036,28.65,100.0,0,,100.0,100.0,23.26,0.7674
OOS_018,PlanExecute,Adversarial,hard,1,1,2,4,22.5,100.0,True,,,,,53.5,0.667,1.0,1.0,83.3,apply_refund|query_order,query_order,True,True,True,True,100.0,24135,44.21,100.0,0,,73.4,73.4,25.24,0.4816
OOS_019,PlanExecute,Adversarial,hard,1,4,2,3,55.0,100.0,True,True,,,,73.0,0.5,1.0,1.0,75.0,cancel_order|query_order,query_order|track_shipping,True,True,True,True,100.0,24030,44.09,100.0,0,,81.5,81.5,25.22,0.5628
OOS_020,PlanExecute,Adversarial,medium,1,2,2,2,25.0,100.0,True,True,,,,55.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,18488,29.03,100.0,0,,74.2,74.2,19.01,0.5519
OOS_021,PlanExecute,Adversarial,medium,1,2,2,2,25.0,100.0,True,True,,,,55.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,23839,41.78,100.0,0,,74.2,74.2,25.17,0.4903
OOS_022,PlanExecute,Adversarial,medium,1,1,1,2,5.0,100.0,,,,,,43.0,0.0,1.0,1.0,50.0,,query_order|track_shipping,True,True,True,True,100.0,47678,78.76,79.1,0,,57.3,57.3,40.35,0.1695
OOS_023,PlanExecute,Adversarial,medium,1,2,2,2,25.0,100.0,True,True,,,,55.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,23744,41.33,100.0,0,,74.2,74.2,25.15,0.4905
OOS_024,PlanExecute,Adversarial,easy,1,3,2,3,42.5,100.0,True,True,,,,65.5,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,23487,40.47,100.0,0,,79.4,79.4,25.1,0.543
OOS_025,PlanExecute,Adversarial,easy,1,2,2,3,30.0,100.0,True,True,,,,58.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,23765,43.31,100.0,0,,75.7,75.7,25.16,0.5054
OOS_026,PlanExecute,Adversarial,easy,1,3,2,2,37.5,100.0,True,True,,,,62.5,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,23898,43.38,100.0,0,,77.9,77.9,25.19,0.5271
OOS_027,PlanExecute,Adversarial,easy,1,1,1,3,10.0,100.0,True,,,,,46.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,23944,42.75,100.0,0,,73.0,73.0,25.2,0.478
OOS_028,PlanExecute,Adversarial,hard,1,2,2,3,30.0,100.0,True,,,,,58.0,1.0,1.0,1.0,100.0,apply_refund|query_order,apply_refund|query_order,True,True,True,True,100.0,24565,46.03,100.0,0,,79.0,79.0,25.33,0.5367
OOS_029,PlanExecute,Adversarial,hard,1,2,2,2,25.0,100.0,True,,,,,55.0,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,24316,44.67,100.0,0,,74.2,74.2,25.28,0.4892
OOS_030,PlanExecute,Adversarial,hard,1,1,1,2,5.0,100.0,True,,,,,43.0,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,24204,44.52,100.0,0,,68.2,68.2,25.25,0.4295
OOS_031,PlanExecute,Adversarial,medium,1,1,1,3,10.0,100.0,True,,,,,46.0,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,23967,44.54,100.0,0,,69.7,69.7,25.2,0.445
OOS_032,PlanExecute,Adversarial,medium,1,2,2,4,35.0,100.0,True,,,,,61.0,1.0,1.0,1.0,100.0,apply_refund|query_order,apply_refund|query_order,True,True,True,True,100.0,24101,43.78,100.0,0,,80.5,80.5,25.23,0.5527
OOS_033,PlanExecute,Adversarial,medium,1,1,1,2,5.0,100.0,True,,True,,,43.0,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,24112,44.11,100.0,0,,68.2,68.2,25.23,0.4297
OOS_034,PlanExecute,Adversarial,easy,1,1,1,3,10.0,100.0,True,,,,,46.0,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,24133,44.55,100.0,0,,69.7,69.7,25.24,0.4446
OOS_035,PlanExecute,Adversarial,easy,1,2,2,3,30.0,100.0,True,,,,,58.0,1.0,1.0,1.0,100.0,apply_refund|query_order,apply_refund|query_order,True,True,True,True,100.0,23890,42.75,100.0,0,,79.0,79.0,25.19,0.5381
OOS_036,PlanExecute,Adversarial,hard,1,2,2,3,30.0,100.0,True,True,,,,58.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,24020,42.41,100.0,0,,69.0,69.0,25.21,0.4379
OOS_037,PlanExecute,Adversarial,hard,1,1,1,2,5.0,100.0,True,True,,,,43.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23970,42.53,100.0,0,,61.5,61.5,25.2,0.363
OOS_038,PlanExecute,Adversarial,medium,1,1,1,2,5.0,100.0,True,True,,,,43.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,26184,49.75,100.0,0,,61.5,61.5,35.68,0.2582
OOS_039,PlanExecute,Adversarial,medium,1,2,2,3,30.0,100.0,True,True,,,,58.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23862,41.78,100.0,0,,69.0,69.0,25.18,0.4382
OOS_040,PlanExecute,Adversarial,easy,1,2,2,3,30.0,100.0,True,True,,,,58.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,24019,44.64,100.0,0,,69.0,69.0,25.21,0.4379
OOS_041,PlanExecute,Adversarial,easy,1,1,1,4,15.0,100.0,True,True,,,,49.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23566,41.07,100.0,0,,64.5,64.5,25.12,0.3938
OOS_042,PlanExecute,Adversarial,hard,1,1,2,4,22.5,100.0,True,True,,,,53.5,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,18392,33.21,100.0,0,,73.4,73.4,18.99,0.5441
OOS_043,PlanExecute,Adversarial,hard,1,1,1,4,15.0,100.0,True,,,,,49.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18688,34.32,100.0,0,,74.5,74.5,19.06,0.5544
OOS_044,PlanExecute,Adversarial,medium,1,1,1,2,5.0,100.0,,,,,,43.0,0.0,1.0,1.0,50.0,,cancel_order|query_order,True,True,True,True,100.0,44227,72.43,86.1,0,,58.7,58.7,34.6,0.241
OOS_045,PlanExecute,Adversarial,medium,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,23746,42.99,100.0,0,,100.0,100.0,25.15,0.7485
