case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,ReAct,Polite,medium,2,5,5,5,100.0,100.0,True,,,True,,100.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,False,75.0,15601,,97.0,0,,90.2,90.2,63.65,1.1675
CASE_001,ReAct,Polite,medium,2,5,3,5,85.0,100.0,True,,,True,,91.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,False,75.0,15603,23.7,86.9,0,,85.1,85.1,63.65,1.0655
CASE_001,ReAct,Polite,medium,2,5,3,5,85.0,100.0,True,,,True,,91.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,False,75.0,15603,22.3,92.3,0,,86.1,86.1,63.65,1.0855
CASE_002,ReAct,Polite,hard,3,3,5,5,75.0,100.0,True,,,True,,85.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,25619,,98.0,0,,78.1,78.1,99.78,1.3452
CASE_002,ReAct,Polite,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,25619,35.14,100.0,0,,83.8,83.8,99.78,1.5162
CASE_002,ReAct,Polite,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,25619,32.62,100.0,0,,83.8,83.8,99.78,1.5162
CASE_015,ReAct,Polite,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,25707,,28.6,0,,69.5,69.5,99.95,-0.3045
CASE_015,ReAct,Polite,easy,1,4,5,5,87.5,100.0,True,True,,,True,92.5,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,25707,37.71,58.0,0,,72.7,72.7,99.95,-0.2725
CASE_015,ReAct,Polite,easy,1,4,5,5,87.5,100.0,True,True,,,True,92.5,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,25707,34.51,63.4,0,,73.8,73.8,99.95,-0.2615
CASE_075,ReAct,Polite,easy,1,3,5,5,75.0,100.0,True,,,,,85.0,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,15643,,47.0,0,,72.9,72.9,63.73,0.0917
CASE_075,ReAct,Polite,easy,1,2,2,5,40.0,100.0,True,,,,,64.0,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,15643,23.11,94.7,0,,75.1,75.1,63.73,0.1137
CASE_075,ReAct,Polite,easy,1,2,2,5,40.0,100.0,True,,,,,64.0,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,15643,21.34,100.0,0,,76.2,76.2,63.73,0.1247
CASE_090,ReAct,Polite,medium,2,3,3,5,60.0,100.0,True,True,,True,,76.0,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,11496,,100.0,0,,80.3,80.3,55.67,1.0493
CASE_090,ReAct,Polite,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,11496,18.24,100.0,0,,88.8,88.8,55.67,1.2193
CASE_090,ReAct,Polite,medium,2,3,3,5,60.0,100.0,True,True,,True,,76.0,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,11488,16.57,100.0,0,,80.3,80.3,55.66,1.0494
CASE_141,ReAct,Polite,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,25732,,28.6,0,,69.5,69.5,100.0,-0.305
CASE_141,ReAct,Polite,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,25732,37.16,58.9,0,,75.5,75.5,100.0,-0.245
CASE_141,ReAct,Polite,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,25732,34.15,64.1,0,,76.6,76.6,100.0,-0.234
