case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,Single-slot,Polite,medium,2,5,4,5,92.5,100.0,True,True,True,True,,95.5,0.5,1.0,1.0,75.0,apply_refund|query_order,cancel_order|query_order,True,True,True,True,100.0,13360,,100.0,0,,92.2,92.2,59.27,1.2513
CASE_001,Single-slot,Polite,medium,2,2,4,5,55.0,100.0,True,True,True,True,,73.0,0.5,1.0,1.0,75.0,apply_refund|query_order,cancel_order|query_order,True,True,True,True,100.0,13360,30.51,67.5,0,,77.8,77.8,59.27,0.9633
CASE_001,Single-slot,Polite,medium,2,3,5,5,75.0,100.0,True,True,True,True,,85.0,0.5,1.0,1.0,75.0,apply_refund|query_order,cancel_order|query_order,True,True,True,True,100.0,13360,26.98,76.3,0,,83.8,83.8,59.27,1.0833
CASE_002,Single-slot,Polite,hard,3,4,4,5,80.0,100.0,True,True,True,True,,88.0,1.0,1.0,1.0,100.0,cancel_order|query_order,query_order,True,True,True,True,100.0,25109,,100.0,0,,95.8,95.8,70.61,2.1679
CASE_002,Single-slot,Polite,hard,3,2,3,5,47.5,100.0,True,,True,True,,68.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,27528,50.5,100.0,0,,89.0,89.0,80.0,1.87
CASE_002,Single-slot,Polite,hard,3,2,2,5,40.0,100.0,True,,True,True,,64.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,27528,50.68,99.8,0,,87.4,87.4,80.0,1.822
CASE_015,Single-slot,Polite,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,11423,,64.4,0,,92.9,92.9,40.75,0.5215
CASE_015,Single-slot,Polite,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,11423,22.29,98.2,0,,99.6,99.6,40.75,0.5885
CASE_015,Single-slot,Polite,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,11423,22.16,98.8,0,,99.8,99.8,40.75,0.5905
CASE_075,Single-slot,Polite,easy,1,3,5,5,75.0,100.0,True,,,,,85.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7359,,100.0,0,,94.8,94.8,33.37,0.6143
CASE_075,Single-slot,Polite,easy,1,2,2,4,35.0,100.0,True,True,,,,61.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,11424,21.84,100.0,0,,86.3,86.3,40.75,0.4555
CASE_075,Single-slot,Polite,easy,1,2,2,4,35.0,100.0,True,True,,,,61.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,11424,21.93,99.8,0,,86.3,86.3,40.75,0.4555
CASE_090,Single-slot,Polite,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7336,,100.0,0,,100.0,100.0,33.32,1.6668
CASE_090,Single-slot,Polite,medium,2,4,4,5,80.0,100.0,True,True,,True,,88.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7336,14.01,100.0,0,,95.8,95.8,33.32,1.5828
CASE_090,Single-slot,Polite,medium,2,4,4,5,80.0,100.0,True,True,,True,,88.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7336,14.19,100.0,0,,95.8,95.8,33.32,1.5828
CASE_141,Single-slot,Polite,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7273,,100.0,0,,100.0,100.0,33.21,0.6679
CASE_141,Single-slot,Polite,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7269,13.81,100.0,0,,100.0,100.0,33.2,0.668
CASE_141,Single-slot,Polite,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7269,13.81,100.0,0,,100.0,100.0,33.2,0.668
