case_id,agent_type,persona_type,difficulty,s_raw,i_fatal,s_agent_hard_zero,s_agent_cap_30,s_agent_cap_40,s_agent_severity
CASE_001,PlanExecute,Adversarial,medium,81.0,0,81.0,81.0,81.0,81.0
CASE_001,PlanExecute,Adversarial,medium,92.0,0,92.0,92.0,92.0,92.0
CASE_001,PlanExecute,Adversarial,medium,85.8,0,85.8,85.8,85.8,85.8
CASE_002,PlanExecute,Adversarial,hard,97.4,0,97.4,97.4,97.4,97.4
CASE_002,PlanExecute,Adversarial,hard,100.0,0,100.0,100.0,100.0,100.0
CASE_002,PlanExecute,Adversarial,hard,99.8,0,99.8,99.8,99.8,99.8
CASE_015,PlanExecute,Adversarial,easy,85.6,0,85.6,85.6,85.6,85.6
CASE_015,PlanExecute,Adversarial,easy,85.1,0,85.1,85.1,85.1,85.1
CASE_015,PlanExecute,Adversarial,easy,85.7,0,85.7,85.7,85.7,85.7
CASE_075,PlanExecute,Adversarial,easy,96.6,0,96.6,96.6,96.6,96.6
CASE_075,PlanExecute,Adversarial,easy,95.9,0,95.9,95.9,95.9,95.9
CASE_075,PlanExecute,Adversarial,easy,74.3,0,74.3,74.3,74.3,74.3
CASE_090,PlanExecute,Adversarial,medium,98.4,0,98.4,98.4,98.4,98.4
CASE_090,PlanExecute,Adversarial,medium,94.2,0,94.2,94.2,94.2,94.2
CASE_090,PlanExecute,Adversarial,medium,92.8,0,92.8,92.8,92.8,92.8
CASE_141,PlanExecute,Adversarial,easy,96.6,0,96.6,96.6,96.6,96.6
CASE_141,PlanExecute,Adversarial,easy,91.9,0,91.9,91.9,91.9,91.9
CASE_141,PlanExecute,Adversarial,easy,92.9,0,92.9,92.9,92.9,92.9
CASE_001,ReAct,Adversarial,medium,76.6,0,76.6,76.6,76.6,76.6
CASE_001,ReAct,Adversarial,medium,78.5,0,78.5,78.5,78.5,78.5
CASE_001,ReAct,Adversarial,medium,78.3,0,78.3,78.3,78.3,78.3
CASE_002,ReAct,Adversarial,hard,75.7,0,75.7,75.7,75.7,75.7
CASE_002,ReAct,Adversarial,hard,83.8,0,83.8,83.8,83.8,83.8
CASE_002,ReAct,Adversarial,hard,83.8,0,83.8,83.8,83.8,83.8
CASE_015,ReAct,Adversarial,easy,64.6,0,64.6,64.6,64.6,64.6
CASE_015,ReAct,Adversarial,easy,73.2,0,73.2,73.2,73.2,73.2
CASE_015,ReAct,Adversarial,easy,73.3,0,73.3,73.3,73.3,73.3
CASE_075,ReAct,Adversarial,easy,74.2,0,74.2,74.2,74.2,74.2
CASE_075,ReAct,Adversarial,easy,77.7,0,77.7,77.7,77.7,77.7
CASE_075,ReAct,Adversarial,easy,77.7,0,77.7,77.7,77.7,77.7
CASE_090,ReAct,Adversarial,medium,74.4,0,74.4,74.4,74.4,74.4
CASE_090,ReAct,Adversarial,medium,81.6,0,81.6,81.6,81.6,81.6
CASE_090,ReAct,Adversarial,medium,82.3,0,82.3,82.3,82.3,82.3
CASE_141,ReAct,Adversarial,easy,69.8,0,69.8,69.8,69.8,69.8
CASE_141,ReAct,Adversarial,easy,73.2,0,73.2,73.2,73.2,73.2
CASE_141,ReAct,Adversarial,easy,73.1,0,73.1,73.1,73.1,73.1
CASE_001,Reflection,Adversarial,medium,88.9,0,88.9,88.9,88.9,88.9
CASE_001,Reflection,Adversarial,medium,78.1,0,78.1,78.1,78.1,78.1
CASE_001,Reflection,Adversarial,medium,77.9,0,77.9,77.9,77.9,77.9
CASE_002,Reflection,Adversarial,hard,89.5,0,89.5,89.5,89.5,89.5
CASE_002,Reflection,Adversarial,hard,82.7,0,82.7,82.7,82.7,82.7
CASE_002,Reflection,Adversarial,hard,82.6,0,82.6,82.6,82.6,82.6
CASE_015,Reflection,Adversarial,easy,84.3,0,84.3,84.3,84.3,84.3
CASE_015,Reflection,Adversarial,easy,76.8,0,76.8,76.8,76.8,76.8
CASE_015,Reflection,Adversarial,easy,77.3,0,77.3,77.3,77.3,77.3
CASE_075,Reflection,Adversarial,easy,87.9,0,87.9,87.9,87.9,87.9
CASE_075,Reflection,Adversarial,easy,76.4,0,76.4,76.4,76.4,76.4
CASE_075,Reflection,Adversarial,easy,76.6,0,76.6,76.6,76.6,76.6
CASE_090,Reflection,Adversarial,medium,86.8,0,86.8,86.8,86.8,86.8
CASE_090,Reflection,Adversarial,medium,79.7,0,79.7,79.7,79.7,79.7
CASE_090,Reflection,Adversarial,medium,81.9,0,81.9,81.9,81.9,81.9
CASE_141,Reflection,Adversarial,easy,88.9,0,88.9,88.9,88.9,88.9
CASE_141,Reflection,Adversarial,easy,80.4,0,80.4,80.4,80.4,80.4
CASE_141,Reflection,Adversarial,easy,80.5,0,80.5,80.5,80.5,80.5
CASE_001,Single-slot,Adversarial,medium,86.5,0,86.5,86.5,86.5,86.5
CASE_001,Single-slot,Adversarial,medium,69.7,0,69.7,69.7,69.7,69.7
CASE_001,Single-slot,Adversarial,medium,66.7,0,66.7,66.7,66.7,66.7
CASE_002,Single-slot,Adversarial,hard,92.4,0,92.4,92.4,92.4,92.4
CASE_002,Single-slot,Adversarial,hard,98.6,0,98.6,98.6,98.6,98.6
CASE_002,Single-slot,Adversarial,hard,98.4,0,98.4,98.4,98.4,98.4
CASE_015,Single-slot,Adversarial,easy,92.5,0,92.5,92.5,92.5,92.5
CASE_015,Single-slot,Adversarial,easy,93.4,0,93.4,93.4,93.4,93.4
CASE_015,Single-slot,Adversarial,easy,93.3,0,93.3,93.3,93.3,93.3
CASE_075,Single-slot,Adversarial,easy,99.6,0,99.6,99.6,99.6,99.6
CASE_075,Single-slot,Adversarial,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_075,Single-slot,Adversarial,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_090,Single-slot,Adversarial,medium,95.8,0,95.8,95.8,95.8,95.8
CASE_090,Single-slot,Adversarial,medium,93.2,0,93.2,93.2,93.2,93.2
CASE_090,Single-slot,Adversarial,medium,93.1,0,93.1,93.1,93.1,93.1
CASE_141,Single-slot,Adversarial,easy,98.7,0,98.7,98.7,98.7,98.7
CASE_141,Single-slot,Adversarial,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_141,Single-slot,Adversarial,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_001,PlanExecute,Polite,medium,95.1,0,95.1,95.1,95.1,95.1
CASE_001,PlanExecute,Polite,medium,87.0,0,87.0,87.0,87.0,87.0
CASE_001,PlanExecute,Polite,medium,93.8,0,93.8,93.8,93.8,93.8
CASE_002,PlanExecute,Polite,hard,97.4,0,97.4,97.4,97.4,97.4
CASE_002,PlanExecute,Polite,hard,100.0,0,100.0,100.0,100.0,100.0
CASE_002,PlanExecute,Polite,hard,100.0,0,100.0,100.0,100.0,100.0
CASE_015,PlanExecute,Polite,easy,85.8,0,85.8,85.8,85.8,85.8
CASE_015,PlanExecute,Polite,easy,77.4,0,77.4,77.4,77.4,77.4
CASE_015,PlanExecute,Polite,easy,74.2,0,74.2,74.2,74.2,74.2
CASE_075,PlanExecute,Polite,easy,94.2,0,94.2,94.2,94.2,94.2
CASE_075,PlanExecute,Polite,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_075,PlanExecute,Polite,easy,97.6,0,97.6,97.6,97.6,97.6
CASE_090,PlanExecute,Polite,medium,100.0,0,100.0,100.0,100.0,100.0
CASE_090,PlanExecute,Polite,medium,90.5,0,90.5,90.5,90.5,90.5
CASE_090,PlanExecute,Polite,medium,89.0,0,89.0,89.0,89.0,89.0
CASE_141,PlanExecute,Polite,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_141,PlanExecute,Polite,easy,96.7,0,96.7,96.7,96.7,96.7
CASE_141,PlanExecute,Polite,easy,97.8,0,97.8,97.8,97.8,97.8
CASE_001,ReAct,Polite,medium,88.9,0,88.9,88.9,88.9,88.9
CASE_001,ReAct,Polite,medium,87.7,0,87.7,87.7,87.7,87.7
CASE_001,ReAct,Polite,medium,87.7,0,87.7,87.7,87.7,87.7
CASE_002,ReAct,Polite,hard,78.1,0,78.1,78.1,78.1,78.1
CASE_002,ReAct,Polite,hard,83.8,0,83.8,83.8,83.8,83.8
CASE_002,ReAct,Polite,hard,83.8,0,83.8,83.8,83.8,83.8
CASE_015,ReAct,Polite,easy,72.6,0,72.6,72.6,72.6,72.6
CASE_015,ReAct,Polite,easy,72.3,0,72.3,72.3,72.3,72.3
CASE_015,ReAct,Polite,easy,73.3,0,73.3,73.3,73.3,73.3
CASE_075,ReAct,Polite,easy,78.1,0,78.1,78.1,78.1,78.1
CASE_075,ReAct,Polite,easy,74.3,0,74.3,74.3,74.3,74.3
CASE_075,ReAct,Polite,easy,75.8,0,75.8,75.8,75.8,75.8
CASE_090,ReAct,Polite,medium,80.3,0,80.3,80.3,80.3,80.3
CASE_090,ReAct,Polite,medium,88.8,0,88.8,88.8,88.8,88.8
CASE_090,ReAct,Polite,medium,80.3,0,80.3,80.3,80.3,80.3
CASE_141,ReAct,Polite,easy,72.6,0,72.6,72.6,72.6,72.6
CASE_141,ReAct,Polite,easy,75.0,0,75.0,75.0,75.0,75.0
CASE_141,ReAct,Polite,easy,76.0,0,76.0,76.0,76.0,76.0
CASE_001,Reflection,Polite,medium,95.2,0,95.2,95.2,95.2,95.2
CASE_001,Reflection,Polite,medium,81.6,0,81.6,81.6,81.6,81.6
CASE_001,Reflection,Polite,medium,80.0,0,80.0,80.0,80.0,80.0
CASE_002,Reflection,Polite,hard,93.9,0,93.9,93.9,93.9,93.9
CASE_002,Reflection,Polite,hard,85.8,0,85.8,85.8,85.8,85.8
CASE_002,Reflection,Polite,hard,83.2,0,83.2,83.2,83.2,83.2
