case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,PlanExecute,VIP,medium,2,5,3,5,85.0,100.0,True,True,,True,,91.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,17751,,61.2,0,,89.1,89.1,48.44,1.2976
CASE_001,PlanExecute,VIP,medium,2,3,4,4,62.5,100.0,True,True,,True,,77.5,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,17996,40.14,47.7,0,,81.7,81.7,48.86,1.1454
CASE_001,PlanExecute,VIP,medium,2,3,5,5,75.0,100.0,True,True,,True,,85.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,17940,38.14,50.2,0,,84.8,84.8,48.76,1.2084
CASE_002,PlanExecute,VIP,hard,3,4,4,4,75.0,100.0,True,,,True,,85.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,29162,,56.8,0,,86.1,86.1,80.0,1.783
CASE_002,PlanExecute,VIP,hard,3,5,5,3,90.0,100.0,True,,,True,,94.0,1.0,1.0,1.0,100.0,cancel_order,query_order,False,True,True,True,75.0,23198,47.38,100.0,0,,92.9,92.9,83.77,1.9493
CASE_002,PlanExecute,VIP,hard,3,2,2,4,35.0,100.0,True,,,True,,61.0,1.0,1.0,1.0,100.0,cancel_order|query_order,query_order,True,True,True,True,100.0,23312,42.11,100.0,0,,86.3,86.3,63.97,1.9493
CASE_015,PlanExecute,VIP,easy,1,3,5,4,70.0,100.0,True,True,,,True,82.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,14535,,53.7,0,,84.4,84.4,62.92,0.2148
CASE_015,PlanExecute,VIP,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18216,45.6,32.2,0,,81.8,81.8,49.23,0.3257
CASE_015,PlanExecute,VIP,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18439,37.14,39.5,0,,83.2,83.2,49.61,0.3359
CASE_075,PlanExecute,VIP,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,9205,,84.7,0,,96.9,96.9,47.78,0.4912
CASE_075,PlanExecute,VIP,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,9307,22.96,63.9,0,,92.8,92.8,47.96,0.4484
CASE_075,PlanExecute,VIP,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,9307,17.88,82.0,0,,96.4,96.4,47.96,0.4844
CASE_090,PlanExecute,VIP,medium,2,4,3,5,72.5,100.0,True,True,,True,,83.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,9167,,100.0,0,,94.2,94.2,47.72,1.4068
CASE_090,PlanExecute,VIP,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,9280,23.93,80.0,0,,96.0,96.0,47.91,1.4409
CASE_090,PlanExecute,VIP,medium,2,3,4,5,67.5,100.0,True,True,,True,,80.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,9269,17.41,100.0,0,,93.2,93.2,47.89,1.3851
CASE_141,PlanExecute,VIP,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,9178,,85.0,0,,97.0,97.0,47.74,0.4926
CASE_141,PlanExecute,VIP,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,9283,16.96,86.5,0,,97.3,97.3,47.92,0.4938
CASE_141,PlanExecute,VIP,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,9283,17.57,83.5,0,,96.7,96.7,47.92,0.4878
