case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,Single-slot,VIP,medium,2,5,4,5,92.5,100.0,True,True,,True,,95.5,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,13972,,77.8,0,,89.8,89.8,63.61,1.1599
CASE_001,Single-slot,VIP,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,12185,23.64,81.0,0,,92.0,92.0,54.33,1.2967
CASE_001,Single-slot,VIP,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,23705,39.12,49.0,0,,85.6,85.6,87.44,0.8376
CASE_002,Single-slot,VIP,hard,3,4,2,5,65.0,100.0,True,True,True,True,,79.0,1.0,1.0,1.0,100.0,cancel_order|query_order,query_order,True,True,True,True,100.0,16559,,100.0,0,,92.7,92.7,48.35,2.2975
CASE_002,Single-slot,VIP,hard,3,4,4,5,80.0,100.0,True,True,True,True,,88.0,1.0,1.0,1.0,100.0,cancel_order|query_order,query_order,True,True,True,True,100.0,27282,47.81,100.0,0,,95.8,95.8,80.0,2.074
CASE_002,Single-slot,VIP,hard,3,4,4,5,80.0,100.0,True,True,True,True,,88.0,1.0,1.0,1.0,100.0,cancel_order|query_order,query_order,True,True,True,True,100.0,27282,48.19,99.6,0,,95.7,95.7,80.0,2.071
CASE_015,Single-slot,VIP,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,12258,,63.6,0,,92.7,92.7,54.47,0.3823
CASE_015,Single-slot,VIP,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,12437,22.67,64.7,0,,92.9,92.9,54.79,0.3811
CASE_015,Single-slot,VIP,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,12437,22.52,65.1,0,,93.0,93.0,54.79,0.3821
CASE_075,Single-slot,VIP,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7801,,100.0,0,,100.0,100.0,46.3,0.537
CASE_075,Single-slot,VIP,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7923,14.81,99.1,0,,99.8,99.8,46.52,0.5328
CASE_075,Single-slot,VIP,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7923,14.53,100.0,0,,100.0,100.0,46.52,0.5348
CASE_090,Single-slot,VIP,medium,2,3,3,5,60.0,100.0,True,True,,True,,76.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7766,,100.0,0,,91.6,91.6,46.23,1.3697
CASE_090,Single-slot,VIP,medium,2,3,4,5,67.5,100.0,True,True,,True,,80.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7868,14.66,100.0,0,,93.2,93.2,46.42,1.3998
CASE_090,Single-slot,VIP,medium,2,3,4,5,67.5,100.0,True,True,,True,,80.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7868,14.16,100.0,0,,93.2,93.2,46.42,1.3998
CASE_141,Single-slot,VIP,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7789,,100.0,0,,100.0,100.0,46.27,0.5373
CASE_141,Single-slot,VIP,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7853,14.34,100.0,0,,100.0,100.0,46.39,0.5361
CASE_141,Single-slot,VIP,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,7853,14.24,100.0,0,,100.0,100.0,46.39,0.5361
