w_outcome,w_tool,w_trajectory,w_efficiency,mean_ReAct,mean_PlanExecute,mean_Reflection,mean_Single_slot,rank1,rank2,rank3,rank4
0.05,0.05,0.05,0.85,89.39,95.62,64.33,84.83,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.05,0.1,0.8,87.85,95.67,66.26,85.55,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.05,0.15,0.75,86.31,95.72,68.19,86.27,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.05,0.2,0.7,84.78,95.77,70.12,87.0,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.25,0.65,83.24,95.83,72.04,87.72,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.3,0.6,81.71,95.88,73.95,88.44,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.35,0.55,80.17,95.93,75.85,89.16,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.4,0.5,78.64,95.98,77.74,89.88,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.45,0.45,77.1,96.03,79.64,90.6,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.5,0.4,75.57,96.08,81.54,91.32,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.55,0.35,74.03,96.14,83.43,92.05,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.6,0.3,72.5,96.19,85.33,92.77,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.65,0.25,70.96,96.24,87.22,93.49,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.7,0.2,69.42,96.29,89.12,94.21,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.75,0.15,67.89,96.34,91.01,94.93,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.8,0.1,66.35,96.39,92.91,95.65,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.85,0.05,64.82,96.45,94.8,96.37,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.05,0.8,87.08,94.35,64.65,84.14,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.1,0.1,0.75,85.55,94.4,66.58,84.87,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.1,0.15,0.7,84.01,94.45,68.51,85.59,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.2,0.65,82.47,94.5,70.44,86.31,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.25,0.6,80.94,94.56,72.36,87.03,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.3,0.55,79.4,94.61,74.26,87.75,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.35,0.5,77.87,94.66,76.16,88.47,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.4,0.45,76.33,94.71,78.05,89.19,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.45,0.4,74.8,94.76,79.95,89.92,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.5,0.35,73.26,94.81,81.84,90.64,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.55,0.3,71.73,94.87,83.74,91.36,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.6,0.25,70.19,94.92,85.63,92.08,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.65,0.2,68.65,94.97,87.53,92.8,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.7,0.15,67.12,95.02,89.42,93.52,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.75,0.1,65.58,95.07,91.32,94.24,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.8,0.05,64.05,95.12,93.21,94.96,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.05,0.75,84.78,93.08,64.97,83.46,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.15,0.1,0.7,83.24,93.13,66.9,84.18,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.15,0.15,0.65,81.7,93.18,68.83,84.9,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.15,0.2,0.6,80.17,93.24,70.76,85.62,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.15,0.25,0.55,78.63,93.29,72.67,86.34,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.15,0.3,0.5,77.1,93.34,74.57,87.06,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.15,0.35,0.45,75.56,93.39,76.46,87.78,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.4,0.4,74.03,93.44,78.36,88.51,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.45,0.35,72.49,93.49,80.25,89.23,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.5,0.3,70.96,93.54,82.15,89.95,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.55,0.25,69.42,93.6,84.04,90.67,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.6,0.2,67.88,93.65,85.94,91.39,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.65,0.15,66.35,93.7,87.83,92.11,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.7,0.1,64.81,93.75,89.73,92.83,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.75,0.05,63.28,93.8,91.62,93.56,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.05,0.7,82.47,91.81,65.29,82.77,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.1,0.65,80.93,91.86,67.22,83.49,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.15,0.6,79.4,91.91,69.15,84.21,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.2,0.55,77.86,91.97,71.07,84.93,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.25,0.5,76.33,92.02,72.98,85.65,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.2,0.3,0.45,74.79,92.07,74.87,86.37,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.35,0.4,73.26,92.12,76.77,87.1,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.4,0.35,71.72,92.17,78.66,87.82,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.45,0.3,70.19,92.22,80.56,88.54,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.5,0.25,68.65,92.28,82.45,89.26,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.55,0.2,67.11,92.33,84.35,89.98,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.6,0.15,65.58,92.38,86.24,90.7,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.65,0.1,64.04,92.43,88.14,91.42,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.2,0.7,0.05,62.51,92.48,90.03,92.15,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.05,0.65,80.16,90.54,65.61,82.08,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.25,0.1,0.6,78.63,90.59,67.54,82.8,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.25,0.15,0.55,77.09,90.64,69.47,83.52,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.25,0.2,0.5,75.56,90.7,71.39,84.24,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.25,0.25,0.45,74.02,90.75,73.29,84.97,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.25,0.3,0.4,72.49,90.8,75.18,85.69,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.35,0.35,70.95,90.85,77.08,86.41,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.4,0.3,69.42,90.9,78.97,87.13,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.45,0.25,67.88,90.95,80.87,87.85,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.5,0.2,66.34,91.01,82.76,88.57,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.55,0.15,64.81,91.06,84.66,89.29,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.6,0.1,63.27,91.11,86.55,90.01,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.25,0.65,0.05,61.74,91.16,88.45,90.74,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.3,0.05,0.6,77.86,89.27,65.94,81.39,PlanExecute,Single-slot,ReAct,Reflection
