case_id,agent_type,persona_type,run_status,score_s_resolution,score_s_completeness,score_s_tone,final_score_0_100,reasoning_s_resolution,reasoning_s_completeness,reasoning_s_tone
CASE_001,Single-slot,Adversarial,SUCCESS,,,,10.0,,,
CASE_002,Single-slot,Adversarial,SUCCESS,,,,95.0,,,
CASE_015,Single-slot,Adversarial,LOOP_FAILURE,,,,100.0,,,
CASE_075,Single-slot,Adversarial,SUCCESS,,,,100.0,,,
CASE_090,Single-slot,Adversarial,SUCCESS,,,,67.5,,,
CASE_141,Single-slot,Adversarial,SUCCESS,,,,100.0,,,
CASE_001,Single-slot,VIP,LOOP_FAILURE,,,,100.0,,,
CASE_002,Single-slot,VIP,SUCCESS,,,,80.0,,,
CASE_015,Single-slot,VIP,LOOP_FAILURE,,,,100.0,,,
CASE_075,Single-slot,VIP,SUCCESS,,,,100.0,,,
CASE_090,Single-slot,VIP,SUCCESS,,,,67.5,,,
CASE_141,Single-slot,VIP,SUCCESS,,,,100.0,,,
CASE_075,ReAct,Adversarial,SUCCESS,,,,100.0,,,
CASE_090,ReAct,Adversarial,SUCCESS,,,,95.0,,,
CASE_141,ReAct,Adversarial,SUCCESS,,,,100.0,,,
CASE_001,ReAct,VIP,SUCCESS,,,,100.0,,,
CASE_002,ReAct,VIP,LOOP_FAILURE,,,,100.0,,,
CASE_015,ReAct,VIP,SUCCESS,,,,100.0,,,
CASE_075,ReAct,VIP,SUCCESS,,,,100.0,,,
CASE_090,ReAct,VIP,SUCCESS,,,,67.5,,,
CASE_141,ReAct,VIP,SUCCESS,,,,100.0,,,
CASE_001,Reflection,Polite,SUCCESS,,,,85.0,,,
CASE_002,Reflection,Polite,SUCCESS,,,,100.0,,,
CASE_015,Reflection,Polite,SUCCESS,,,,100.0,,,
CASE_075,Reflection,Polite,SUCCESS,,,,40.0,,,
CASE_090,Reflection,Polite,SUCCESS,,,,40.0,,,
CASE_141,Reflection,Polite,SUCCESS,,,,100.0,,,
CASE_001,Reflection,Adversarial,SUCCESS,,,,80.0,,,
CASE_002,Reflection,Adversarial,SUCCESS,,,,100.0,,,
CASE_015,Reflection,Adversarial,SUCCESS,,,,100.0,,,
CASE_075,Reflection,Adversarial,SUCCESS,,,,70.0,,,
CASE_090,Reflection,Adversarial,SUCCESS,,,,95.0,,,
CASE_001,Reflection,VIP,SUCCESS,,,,100.0,,,
CASE_141,Reflection,Adversarial,SUCCESS,,,,95.0,,,
CASE_002,Reflection,VIP,LOOP_FAILURE,,,,100.0,,,
CASE_015,Reflection,VIP,SUCCESS,,,,100.0,,,
CASE_141,Reflection,VIP,SUCCESS,,,,100.0,,,
CASE_075,PlanExecute,Adversarial,SUCCESS,,,,100.0,,,
CASE_001,PlanExecute,Polite,SUCCESS,,,,100.0,,,
CASE_002,PlanExecute,Polite,SUCCESS,,,,100.0,,,
CASE_015,PlanExecute,Polite,SUCCESS,,,,35.0,,,
CASE_075,PlanExecute,Polite,SUCCESS,,,,100.0,,,
CASE_001,PlanExecute,Adversarial,SUCCESS,,,,82.5,,,
CASE_090,PlanExecute,Polite,SUCCESS,,,,47.5,,,
CASE_141,PlanExecute,Polite,SUCCESS,,,,100.0,,,
CASE_002,PlanExecute,Adversarial,SUCCESS,,,,100.0,,,
CASE_015,PlanExecute,Adversarial,SUCCESS,,,,100.0,,,
CASE_001,PlanExecute,VIP,SUCCESS,,,,75.0,,,
CASE_002,PlanExecute,VIP,SUCCESS,,,,35.0,,,
CASE_090,PlanExecute,Adversarial,SUCCESS,,,,80.0,,,
CASE_141,PlanExecute,Adversarial,SUCCESS,,,,95.0,,,
CASE_015,PlanExecute,VIP,SUCCESS,,,,100.0,,,
CASE_075,PlanExecute,VIP,SUCCESS,,,,100.0,,,
CASE_090,PlanExecute,VIP,SUCCESS,,,,67.5,,,
CASE_141,PlanExecute,VIP,SUCCESS,,,,100.0,,,
CASE_076,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_136,Single-slot,Polite,SUCCESS,,,,67.5,,,
CASE_001,Single-slot,Polite,SUCCESS,,,,75.0,,,
CASE_002,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_003,Single-slot,Polite,SUCCESS,,,,75.0,,,
CASE_004,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_005,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_006,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_007,Single-slot,Polite,FAILED_INCOMPLETE,,,,35.0,,,
CASE_008,Single-slot,Polite,SUCCESS,,,,85.0,,,
CASE_009,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_010,Single-slot,Polite,LOOP_FAILURE,,,,100.0,,,
CASE_011,Single-slot,Polite,LOOP_FAILURE,,,,67.5,,,
CASE_012,Single-slot,Polite,FAILED_INCOMPLETE,,,,60.0,,,
CASE_013,Single-slot,Polite,LOOP_FAILURE,,,,100.0,,,
CASE_014,Single-slot,Polite,FAILED_INCOMPLETE,,,,62.5,,,
CASE_015,Single-slot,Polite,SUCCESS,,,,55.0,,,
CASE_016,Single-slot,Polite,FAILED_INCOMPLETE,,,,95.0,,,
CASE_017,Single-slot,Polite,FAILED_INCOMPLETE,,,,50.0,,,
CASE_018,Single-slot,Polite,FAILED_INCOMPLETE,,,,87.5,,,
CASE_019,Single-slot,Polite,FAILED_INCOMPLETE,,,,60.0,,,
CASE_020,Single-slot,Polite,FAILED_INCOMPLETE,,,,15.0,,,
CASE_021,Single-slot,Polite,FAILED_INCOMPLETE,,,,22.5,,,
CASE_022,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_023,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_024,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_025,Single-slot,Polite,SUCCESS,,,,80.0,,,
CASE_026,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_027,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_028,Single-slot,Polite,SUCCESS,,,,60.0,,,
CASE_029,Single-slot,Polite,FAILED_INCOMPLETE,,,,90.0,,,
CASE_030,Single-slot,Polite,FAILED_INCOMPLETE,,,,90.0,,,
CASE_031,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_032,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_033,Single-slot,Polite,SUCCESS,,,,52.5,,,
CASE_034,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_035,Single-slot,Polite,SUCCESS,,,,40.0,,,
CASE_036,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_037,Single-slot,Polite,SUCCESS,,,,60.0,,,
CASE_038,Single-slot,Polite,FAILED_INCOMPLETE,,,,95.0,,,
CASE_039,Single-slot,Polite,FAILED_INCOMPLETE,,,,47.5,,,
CASE_040,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_041,Single-slot,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_042,Single-slot,Polite,FAILED_INCOMPLETE,,,,30.0,,,
CASE_043,Single-slot,Polite,FAILED_INCOMPLETE,,,,47.5,,,
CASE_044,Single-slot,Polite,SUCCESS,,,,35.0,,,
CASE_045,Single-slot,Polite,FAILED_INCOMPLETE,,,,100.0,,,
CASE_046,Single-slot,Polite,FAILED_INCOMPLETE,,,,30.0,,,
CASE_047,Single-slot,Polite,FAILED_INCOMPLETE,,,,87.5,,,
CASE_048,Single-slot,Polite,FAILED_INCOMPLETE,,,,10.0,,,
CASE_049,Single-slot,Polite,FAILED_INCOMPLETE,,,,35.0,,,
CASE_050,Single-slot,Polite,FAILED_INCOMPLETE,,,,55.0,,,
CASE_051,Single-slot,Polite,FAILED_INCOMPLETE,,,,42.5,,,
CASE_052,Single-slot,Polite,FAILED_INCOMPLETE,,,,5.0,,,
CASE_053,Single-slot,Polite,SUCCESS,,,,85.0,,,
CASE_054,Single-slot,Polite,FAILED_INCOMPLETE,,,,40.0,,,
CASE_055,Single-slot,Polite,SUCCESS,,,,35.0,,,
CASE_056,Single-slot,Polite,FAILED_INCOMPLETE,,,,25.0,,,
CASE_057,Single-slot,Polite,SUCCESS,,,,75.0,,,
CASE_058,Single-slot,Polite,SUCCESS,,,,27.5,,,
CASE_059,Single-slot,Polite,FAILED_INCOMPLETE,,,,15.0,,,
CASE_060,Single-slot,Polite,LOOP_FAILURE,,,,30.0,,,
CASE_061,Single-slot,Polite,FAILED_INCOMPLETE,,,,40.0,,,
CASE_062,Single-slot,Polite,SUCCESS,,,,40.0,,,
CASE_063,Single-slot,Polite,SUCCESS,,,,20.0,,,
CASE_064,Single-slot,Polite,SUCCESS,,,,35.0,,,
CASE_065,Single-slot,Polite,FAILED_INCOMPLETE,,,,5.0,,,
CASE_066,Single-slot,Polite,FAILED_INCOMPLETE,,,,25.0,,,
CASE_067,Single-slot,Polite,FAILED_INCOMPLETE,,,,40.0,,,
CASE_068,Single-slot,Polite,LOOP_FAILURE,,,,60.0,,,
CASE_069,Single-slot,Polite,FAILED_INCOMPLETE,,,,30.0,,,
CASE_070,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_071,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_072,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_073,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_074,Single-slot,Polite,LOOP_FAILURE,,,,75.0,,,
CASE_075,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_077,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_078,Single-slot,Polite,SUCCESS,,,,90.0,,,
CASE_079,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_080,Single-slot,Polite,SUCCESS,,,,40.0,,,
CASE_081,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_082,Single-slot,Polite,SUCCESS,,,,60.0,,,
CASE_083,Single-slot,Polite,SUCCESS,,,,85.0,,,
CASE_084,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_085,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_086,Single-slot,Polite,SUCCESS,,,,72.5,,,
CASE_087,Single-slot,Polite,FAILED_INCOMPLETE,,,,100.0,,,
CASE_088,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_089,Single-slot,Polite,SUCCESS,,,,60.0,,,
CASE_090,Single-slot,Polite,SUCCESS,,,,60.0,,,
CASE_091,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_092,Single-slot,Polite,FAILED_INCOMPLETE,,,,12.5,,,
CASE_093,Single-slot,Polite,FAILED_INCOMPLETE,,,,50.0,,,
CASE_094,Single-slot,Polite,FAILED_INCOMPLETE,,,,25.0,,,
CASE_095,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_096,Single-slot,Polite,FAILED_INCOMPLETE,,,,5.0,,,
CASE_097,Single-slot,Polite,FAILED_INCOMPLETE,,,,5.0,,,
CASE_098,Single-slot,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_099,Single-slot,Polite,FAILED_INCOMPLETE,,,,30.0,,,
CASE_100,Single-slot,Polite,FAILED_INCOMPLETE,,,,5.0,,,
CASE_101,Single-slot,Polite,SUCCESS,,,,62.5,,,
CASE_102,Single-slot,Polite,SUCCESS,,,,55.0,,,
CASE_103,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_104,Single-slot,Polite,SUCCESS,,,,10.0,,,
CASE_105,Single-slot,Polite,FAILED_INCOMPLETE,,,,22.5,,,
CASE_106,Single-slot,Polite,FAILED_INCOMPLETE,,,,47.5,,,
CASE_107,Single-slot,Polite,SUCCESS,,,,20.0,,,
CASE_108,Single-slot,Polite,SUCCESS,,,,55.0,,,
CASE_109,Single-slot,Polite,SUCCESS,,,,15.0,,,
CASE_110,Single-slot,Polite,FAILED_INCOMPLETE,,,,35.0,,,
CASE_111,Single-slot,Polite,FAILED_INCOMPLETE,,,,22.5,,,
CASE_112,Single-slot,Polite,FAILED_INCOMPLETE,,,,15.0,,,
CASE_113,Single-slot,Polite,SUCCESS,,,,25.0,,,
CASE_114,Single-slot,Polite,LOOP_FAILURE,,,,40.0,,,
CASE_115,Single-slot,Polite,FAILED_INCOMPLETE,,,,15.0,,,
CASE_116,Single-slot,Polite,FAILED_INCOMPLETE,,,,20.0,,,
CASE_117,Single-slot,Polite,SUCCESS,,,,100.0,,,
CASE_118,Single-slot,Polite,SUCCESS,,,,25.0,,,
CASE_119,Single-slot,Polite,SUCCESS,,,,30.0,,,
CASE_120,Single-slot,Polite,SUCCESS,,,,42.5,,,
