case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,Single-slot,Adversarial,medium,2,5,3,5,85.0,100.0,True,True,,True,,91.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,20355,,84.6,0,,89.6,89.6,73.6,1.056
CASE_001,Single-slot,Adversarial,medium,2,2,2,2,25.0,100.0,True,True,,True,,55.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,30203,53.4,72.9,0,,74.7,74.7,99.85,0.4955
CASE_001,Single-slot,Adversarial,medium,2,1,1,3,10.0,100.0,True,True,,True,,46.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,30203,52.1,74.7,0,,71.9,71.9,99.85,0.4395
CASE_002,Single-slot,Adversarial,hard,3,5,3,4,80.0,100.0,True,True,,True,,88.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,30292,,100.0,0,,95.8,95.8,100.0,1.874
CASE_002,Single-slot,Adversarial,hard,3,5,5,4,95.0,100.0,True,True,,True,,97.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,30292,51.53,100.0,0,,98.9,98.9,100.0,1.967
CASE_002,Single-slot,Adversarial,hard,3,5,5,4,95.0,100.0,True,True,,True,,97.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,30292,52.07,99.5,0,,98.8,98.8,100.0,1.964
CASE_015,Single-slot,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18331,,63.7,0,,92.7,92.7,65.26,0.2744
CASE_015,Single-slot,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18331,31.36,67.0,0,,93.4,93.4,65.26,0.2814
CASE_015,Single-slot,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,18331,31.63,66.4,0,,93.3,93.3,65.26,0.2804
CASE_075,Single-slot,Adversarial,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,11670,,100.0,0,,100.0,100.0,54.26,0.4574
CASE_075,Single-slot,Adversarial,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,11670,21.0,100.0,0,,100.0,100.0,54.26,0.4574
CASE_075,Single-slot,Adversarial,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,11670,21.0,100.0,0,,100.0,100.0,54.26,0.4574
CASE_090,Single-slot,Adversarial,medium,2,4,4,5,80.0,100.0,True,True,,True,,88.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,14092,,100.0,0,,95.8,95.8,58.26,1.3334
CASE_090,Single-slot,Adversarial,medium,2,3,4,5,67.5,100.0,True,True,,True,,80.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,14092,25.48,100.0,0,,93.2,93.2,58.26,1.2814
CASE_090,Single-slot,Adversarial,medium,2,3,4,5,67.5,100.0,True,True,,True,,80.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,14092,25.71,100.0,0,,93.2,93.2,58.26,1.2814
CASE_141,Single-slot,Adversarial,easy,1,5,5,4,95.0,100.0,True,True,,True,,97.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,11571,,100.0,0,,98.9,98.9,54.1,0.448
CASE_141,Single-slot,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,11571,20.83,100.0,0,,100.0,100.0,54.1,0.459
CASE_141,Single-slot,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,11571,20.81,100.0,0,,100.0,100.0,54.1,0.459
