lambda,agent_type,net_value,delta_mb,dataset
0.001,PlanExecute,1.6164,0.1107,In-Sample (IS)
0.001,ReAct,1.4748,-0.0309,In-Sample (IS)
0.001,Reflection,1.243,-0.2627,In-Sample (IS)
0.001,Single-slot,1.5057,0.0,In-Sample (IS)
0.002,PlanExecute,1.5956,0.1186,In-Sample (IS)
0.002,ReAct,1.4445,-0.0325,In-Sample (IS)
0.002,Reflection,1.2091,-0.2679,In-Sample (IS)
0.002,Single-slot,1.477,0.0,In-Sample (IS)
0.003,PlanExecute,1.5747,0.1264,In-Sample (IS)
0.003,ReAct,1.4142,-0.0341,In-Sample (IS)
0.003,Reflection,1.1752,-0.2731,In-Sample (IS)
0.003,Single-slot,1.4483,0.0,In-Sample (IS)
0.004,PlanExecute,1.5539,0.1343,In-Sample (IS)
0.004,ReAct,1.3839,-0.0357,In-Sample (IS)
0.004,Reflection,1.1413,-0.2783,In-Sample (IS)
0.004,Single-slot,1.4196,0.0,In-Sample (IS)
0.005,PlanExecute,1.5331,0.1422,In-Sample (IS)
0.005,ReAct,1.3536,-0.0373,In-Sample (IS)
0.005,Reflection,1.1074,-0.2835,In-Sample (IS)
0.005,Single-slot,1.3909,0.0,In-Sample (IS)
0.006,PlanExecute,1.5122,0.15,In-Sample (IS)
0.006,ReAct,1.3233,-0.0389,In-Sample (IS)
0.006,Reflection,1.0735,-0.2887,In-Sample (IS)
0.006,Single-slot,1.3622,0.0,In-Sample (IS)
0.007,PlanExecute,1.4914,0.1579,In-Sample (IS)
0.007,ReAct,1.293,-0.0405,In-Sample (IS)
0.007,Reflection,1.0396,-0.2939,In-Sample (IS)
0.007,Single-slot,1.3335,0.0,In-Sample (IS)
0.008,PlanExecute,1.4706,0.1658,In-Sample (IS)
0.008,ReAct,1.2627,-0.0421,In-Sample (IS)
0.008,Reflection,1.0056,-0.2992,In-Sample (IS)
0.008,Single-slot,1.3048,0.0,In-Sample (IS)
0.009,PlanExecute,1.4497,0.1736,In-Sample (IS)
0.009,ReAct,1.2324,-0.0437,In-Sample (IS)
0.009,Reflection,0.9717,-0.3044,In-Sample (IS)
0.009,Single-slot,1.2761,0.0,In-Sample (IS)
0.01,PlanExecute,1.4289,0.1815,In-Sample (IS)
0.01,ReAct,1.2021,-0.0453,In-Sample (IS)
0.01,Reflection,0.9378,-0.3096,In-Sample (IS)
0.01,Single-slot,1.2474,0.0,In-Sample (IS)
0.02,PlanExecute,1.2206,0.2602,In-Sample (IS)
0.02,ReAct,0.8991,-0.0613,In-Sample (IS)
0.02,Reflection,0.5988,-0.3616,In-Sample (IS)
0.02,Single-slot,0.9604,0.0,In-Sample (IS)
0.03,PlanExecute,1.0123,0.3388,In-Sample (IS)
0.03,ReAct,0.5961,-0.0773,In-Sample (IS)
0.03,Reflection,0.2598,-0.4137,In-Sample (IS)
0.03,Single-slot,0.6734,0.0,In-Sample (IS)
0.04,PlanExecute,0.8039,0.4175,In-Sample (IS)
0.04,ReAct,0.2932,-0.0933,In-Sample (IS)
0.04,Reflection,-0.0793,-0.4658,In-Sample (IS)
0.04,Single-slot,0.3865,0.0,In-Sample (IS)
0.05,PlanExecute,0.5956,0.4961,In-Sample (IS)
0.05,ReAct,-0.0098,-0.1093,In-Sample (IS)
0.05,Reflection,-0.4183,-0.5178,In-Sample (IS)
0.05,Single-slot,0.0995,0.0,In-Sample (IS)
0.06,PlanExecute,0.3873,0.5748,In-Sample (IS)
0.06,ReAct,-0.3128,-0.1253,In-Sample (IS)
0.06,Reflection,-0.7574,-0.5699,In-Sample (IS)
0.06,Single-slot,-0.1875,0.0,In-Sample (IS)
0.07,PlanExecute,0.179,0.6534,In-Sample (IS)
0.07,ReAct,-0.6158,-0.1413,In-Sample (IS)
0.07,Reflection,-1.0964,-0.6219,In-Sample (IS)
0.07,Single-slot,-0.4745,0.0,In-Sample (IS)
0.08,PlanExecute,-0.0293,0.7321,In-Sample (IS)
0.08,ReAct,-0.9187,-0.1573,In-Sample (IS)
0.08,Reflection,-1.4354,-0.674,In-Sample (IS)
0.08,Single-slot,-0.7614,0.0,In-Sample (IS)
0.09,PlanExecute,-0.2377,0.8108,In-Sample (IS)
0.09,ReAct,-1.2217,-0.1733,In-Sample (IS)
0.09,Reflection,-1.7745,-0.7261,In-Sample (IS)
0.09,Single-slot,-1.0484,0.0,In-Sample (IS)
0.1,PlanExecute,-0.446,0.8894,In-Sample (IS)
0.1,ReAct,-1.5247,-0.1893,In-Sample (IS)
0.1,Reflection,-2.1135,-0.7781,In-Sample (IS)
0.1,Single-slot,-1.3354,0.0,In-Sample (IS)
0.15,PlanExecute,-1.4876,1.2827,In-Sample (IS)
0.15,ReAct,-3.0396,-0.2693,In-Sample (IS)
0.15,Reflection,-3.8087,-1.0385,In-Sample (IS)
0.15,Single-slot,-2.7703,0.0,In-Sample (IS)
0.2,PlanExecute,-2.5292,1.676,In-Sample (IS)
0.2,ReAct,-4.5544,-0.3493,In-Sample (IS)
0.2,Reflection,-5.5039,-1.2988,In-Sample (IS)
0.2,Single-slot,-4.2052,0.0,In-Sample (IS)
0.25,PlanExecute,-3.5708,2.0693,In-Sample (IS)
0.25,ReAct,-6.0693,-0.4293,In-Sample (IS)
0.25,Reflection,-7.1991,-1.5591,In-Sample (IS)
0.25,Single-slot,-5.6401,0.0,In-Sample (IS)
0.3,PlanExecute,-4.6124,2.4626,In-Sample (IS)
0.3,ReAct,-7.5842,-0.5093,In-Sample (IS)
0.3,Reflection,-8.8943,-1.8194,In-Sample (IS)
0.3,Single-slot,-7.0749,0.0,In-Sample (IS)
0.35,PlanExecute,-5.654,2.8559,In-Sample (IS)
0.35,ReAct,-9.0991,-0.5892,In-Sample (IS)
0.35,Reflection,-10.5895,-2.0797,In-Sample (IS)
0.35,Single-slot,-8.5098,0.0,In-Sample (IS)
0.4,PlanExecute,-6.6956,3.2492,In-Sample (IS)
0.4,ReAct,-10.6139,-0.6692,In-Sample (IS)
0.4,Reflection,-12.2848,-2.34,In-Sample (IS)
0.4,Single-slot,-9.9447,0.0,In-Sample (IS)
0.45,PlanExecute,-7.7372,3.6424,In-Sample (IS)
0.45,ReAct,-12.1288,-0.7492,In-Sample (IS)
0.45,Reflection,-13.98,-2.6004,In-Sample (IS)
0.45,Single-slot,-11.3796,0.0,In-Sample (IS)
0.5,PlanExecute,-8.7788,4.0357,In-Sample (IS)
0.5,ReAct,-13.6437,-0.8292,In-Sample (IS)
0.5,Reflection,-15.6752,-2.8607,In-Sample (IS)
0.5,Single-slot,-12.8145,0.0,In-Sample (IS)
0.001,PlanExecute,0.71,0.0417,Out-of-Sample (OOS)
0.001,ReAct,0.6289,-0.0394,Out-of-Sample (OOS)
0.001,Reflection,0.5747,-0.0936,Out-of-Sample (OOS)
0.001,Single-slot,0.6683,0.0,Out-of-Sample (OOS)
0.002,PlanExecute,0.688,0.051,Out-of-Sample (OOS)
0.002,ReAct,0.5994,-0.0376,Out-of-Sample (OOS)
0.002,Reflection,0.5413,-0.0957,Out-of-Sample (OOS)
0.002,Single-slot,0.637,0.0,Out-of-Sample (OOS)
0.003,PlanExecute,0.666,0.0603,Out-of-Sample (OOS)
0.003,ReAct,0.5699,-0.0359,Out-of-Sample (OOS)
0.003,Reflection,0.5079,-0.0978,Out-of-Sample (OOS)
0.003,Single-slot,0.6058,0.0,Out-of-Sample (OOS)
0.004,PlanExecute,0.644,0.0695,Out-of-Sample (OOS)
0.004,ReAct,0.5404,-0.0341,Out-of-Sample (OOS)
0.004,Reflection,0.4745,-0.1,Out-of-Sample (OOS)
0.004,Single-slot,0.5745,0.0,Out-of-Sample (OOS)
0.005,PlanExecute,0.622,0.0788,Out-of-Sample (OOS)
0.005,ReAct,0.5109,-0.0323,Out-of-Sample (OOS)
0.005,Reflection,0.4411,-0.1021,Out-of-Sample (OOS)
0.005,Single-slot,0.5432,0.0,Out-of-Sample (OOS)
0.006,PlanExecute,0.6,0.0881,Out-of-Sample (OOS)
0.006,ReAct,0.4814,-0.0305,Out-of-Sample (OOS)
0.006,Reflection,0.4077,-0.1042,Out-of-Sample (OOS)
0.006,Single-slot,0.5119,0.0,Out-of-Sample (OOS)
0.007,PlanExecute,0.578,0.0974,Out-of-Sample (OOS)
0.007,ReAct,0.4519,-0.0288,Out-of-Sample (OOS)
0.007,Reflection,0.3743,-0.1063,Out-of-Sample (OOS)
0.007,Single-slot,0.4806,0.0,Out-of-Sample (OOS)
0.008,PlanExecute,0.556,0.1066,Out-of-Sample (OOS)
0.008,ReAct,0.4224,-0.027,Out-of-Sample (OOS)
0.008,Reflection,0.3409,-0.1084,Out-of-Sample (OOS)
0.008,Single-slot,0.4493,0.0,Out-of-Sample (OOS)
0.009,PlanExecute,0.534,0.1159,Out-of-Sample (OOS)
0.009,ReAct,0.3928,-0.0252,Out-of-Sample (OOS)
0.009,Reflection,0.3075,-0.1105,Out-of-Sample (OOS)
0.009,Single-slot,0.4181,0.0,Out-of-Sample (OOS)
0.01,PlanExecute,0.512,0.1252,Out-of-Sample (OOS)
0.01,ReAct,0.3633,-0.0234,Out-of-Sample (OOS)
0.01,Reflection,0.2741,-0.1127,Out-of-Sample (OOS)
0.01,Single-slot,0.3868,0.0,Out-of-Sample (OOS)
0.02,PlanExecute,0.2919,0.2179,Out-of-Sample (OOS)
0.02,ReAct,0.0683,-0.0057,Out-of-Sample (OOS)
0.02,Reflection,-0.0598,-0.1338,Out-of-Sample (OOS)
0.02,Single-slot,0.074,0.0,Out-of-Sample (OOS)
0.03,PlanExecute,0.0718,0.3107,Out-of-Sample (OOS)
