w_outcome,w_tool,w_trajectory,w_efficiency,mean_ReAct,mean_PlanExecute,mean_Reflection,mean_Single_slot,rank1,rank2,rank3,rank4
0.05,0.05,0.05,0.85,93.21,95.75,45.83,89.18,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.05,0.1,0.8,91.53,95.74,48.81,89.59,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.05,0.15,0.75,89.86,95.73,51.79,90.0,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.2,0.7,88.19,95.72,54.77,90.41,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.25,0.65,86.52,95.71,57.75,90.82,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.3,0.6,84.85,95.7,60.7,91.23,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.35,0.55,83.18,95.69,63.66,91.63,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.4,0.5,81.51,95.68,66.61,92.04,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.45,0.45,79.84,95.68,69.56,92.45,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.5,0.4,78.17,95.67,72.51,92.86,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.55,0.35,76.5,95.66,75.46,93.27,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.6,0.3,74.83,95.65,78.41,93.68,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.65,0.25,73.16,95.64,81.37,94.09,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.7,0.2,71.49,95.63,84.32,94.5,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.75,0.15,69.82,95.62,87.27,94.91,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.8,0.1,68.15,95.61,90.22,95.32,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.85,0.05,66.48,95.6,93.17,95.72,Single-slot,PlanExecute,Reflection,ReAct
0.05,0.1,0.05,0.8,90.94,94.72,47.5,88.38,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.1,0.1,0.75,89.27,94.71,50.48,88.79,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.1,0.15,0.7,87.6,94.7,53.46,89.2,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.2,0.65,85.93,94.69,56.44,89.61,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.25,0.6,84.26,94.68,59.41,90.02,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.3,0.55,82.59,94.67,62.36,90.43,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.35,0.5,80.92,94.66,65.31,90.83,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.4,0.45,79.25,94.65,68.26,91.24,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.45,0.4,77.58,94.64,71.22,91.65,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.5,0.35,75.91,94.63,74.17,92.06,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.55,0.3,74.24,94.62,77.12,92.47,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.6,0.25,72.57,94.61,80.07,92.88,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.65,0.2,70.9,94.61,83.02,93.29,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.7,0.15,69.23,94.6,85.98,93.7,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.75,0.1,67.56,94.59,88.93,94.11,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.8,0.05,65.89,94.58,91.88,94.51,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.15,0.05,0.75,88.68,93.69,49.17,87.58,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.15,0.1,0.7,87.01,93.68,52.15,87.99,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.15,0.15,0.65,85.34,93.67,55.13,88.4,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.15,0.2,0.6,83.67,93.66,58.11,88.81,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.15,0.25,0.55,82.0,93.65,61.07,89.22,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.15,0.3,0.5,80.33,93.64,64.02,89.62,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.15,0.35,0.45,78.66,93.63,66.97,90.03,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.15,0.4,0.4,76.99,93.62,69.92,90.44,PlanExecute,Single-slot,ReAct,Reflection
