case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,PlanExecute,Polite,medium,2,5,4,5,92.5,100.0,True,True,,True,,95.5,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,16936,,89.3,0,,96.3,96.3,60.12,1.3248
CASE_001,PlanExecute,Polite,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,0.667,1.0,1.0,83.3,cancel_order,cancel_order|query_order,False,True,True,True,75.0,16844,31.59,65.2,0,,83.9,83.9,79.91,0.8789
CASE_001,PlanExecute,Polite,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,16958,37.18,55.4,0,,91.1,91.1,60.16,1.2204
CASE_002,PlanExecute,Polite,hard,3,4,5,5,87.5,100.0,True,,,True,,92.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22088,,100.0,0,,97.4,97.4,79.06,2.1314
CASE_002,PlanExecute,Polite,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22512,45.55,100.0,0,,100.0,100.0,80.0,2.2
CASE_002,PlanExecute,Polite,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22424,44.47,100.0,0,,100.0,100.0,79.8,2.202
CASE_015,PlanExecute,Polite,easy,1,3,5,4,70.0,66.7,True,True,,,False,68.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13604,,54.1,0,,79.9,79.9,72.71,0.0719
CASE_015,PlanExecute,Polite,easy,1,2,2,5,40.0,66.7,True,True,,,False,50.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13653,28.58,76.6,0,,78.1,78.1,72.82,0.0528
CASE_015,PlanExecute,Polite,easy,1,2,2,4,35.0,66.7,True,True,,,False,47.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13653,33.64,65.1,0,,74.7,74.7,72.82,0.0188
CASE_075,PlanExecute,Polite,easy,1,4,3,5,72.5,100.0,True,True,,,,83.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,8789,,83.7,0,,91.0,91.0,54.52,0.3648
CASE_075,PlanExecute,Polite,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,8788,18.86,100.0,0,,100.0,100.0,54.52,0.4548
CASE_075,PlanExecute,Polite,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,8789,23.81,91.9,0,,98.4,98.4,54.52,0.4388
CASE_090,PlanExecute,Polite,medium,2,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,8812,,100.0,0,,100.0,100.0,54.57,1.4543
CASE_090,PlanExecute,Polite,medium,2,2,4,5,55.0,100.0,True,True,,True,,73.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,8767,18.44,100.0,0,,90.5,90.5,54.47,1.2653
CASE_090,PlanExecute,Polite,medium,2,2,3,5,47.5,100.0,True,True,,True,,68.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,8811,21.99,93.6,0,,87.7,87.7,54.57,1.2083
CASE_141,PlanExecute,Polite,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,8679,,84.8,0,,97.0,97.0,54.28,0.4272
CASE_141,PlanExecute,Polite,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13532,25.22,86.8,0,,97.4,97.4,72.56,0.2484
CASE_141,PlanExecute,Polite,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,8685,23.53,93.0,0,,98.6,98.6,54.29,0.4431
