case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_001,ReAct,VIP,medium,2,5,5,5,100.0,100.0,True,,,True,,100.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,False,75.0,16045,,67.7,0,,84.4,84.4,63.55,1.0525
CASE_001,ReAct,VIP,medium,2,5,3,5,85.0,100.0,True,,,True,,91.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,False,75.0,16147,22.45,85.3,0,,84.7,84.7,63.74,1.0566
CASE_001,ReAct,VIP,medium,2,5,5,5,100.0,100.0,True,,,True,,100.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,False,75.0,16147,24.04,79.7,0,,86.8,86.8,63.74,1.0986
CASE_002,ReAct,VIP,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,26397,,62.7,0,,81.3,81.3,83.04,1.6086
CASE_002,ReAct,VIP,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,26554,37.11,100.0,0,,88.8,88.8,83.33,1.8307
CASE_002,ReAct,VIP,hard,3,5,5,5,100.0,100.0,True,,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,26554,37.07,100.0,0,,88.8,88.8,83.33,1.8307
CASE_015,ReAct,VIP,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,26444,,29.5,0,,69.7,69.7,99.79,-0.3009
CASE_015,ReAct,VIP,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,26546,37.15,39.5,0,,71.7,71.7,99.98,-0.2828
CASE_015,ReAct,VIP,easy,1,5,5,5,100.0,100.0,True,True,,,True,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,26546,36.82,39.8,0,,71.7,71.7,99.98,-0.2828
CASE_075,ReAct,VIP,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,16076,,48.5,0,,78.5,78.5,63.6,0.149
CASE_075,ReAct,VIP,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,16178,23.01,63.8,0,,81.5,81.5,63.8,0.177
CASE_075,ReAct,VIP,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,16178,23.06,63.6,0,,81.5,81.5,63.8,0.177
CASE_090,ReAct,VIP,medium,2,4,3,5,72.5,100.0,True,True,,True,,83.5,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,11921,,91.2,0,,81.2,81.2,55.78,1.0662
CASE_090,ReAct,VIP,medium,2,3,4,5,67.5,100.0,True,True,,True,,80.5,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,12023,17.86,100.0,0,,81.9,81.9,55.97,1.0783
CASE_090,ReAct,VIP,medium,2,3,4,5,67.5,100.0,True,True,,True,,80.5,1.0,0.0,1.0,75.0,query_order,query_order,True,True,True,False,75.0,12023,17.93,100.0,0,,81.9,81.9,55.97,1.0783
CASE_141,ReAct,VIP,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,26346,,29.6,0,,69.7,69.7,99.61,-0.2991
CASE_141,ReAct,VIP,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,26499,36.35,40.4,0,,71.8,71.8,99.9,-0.281
CASE_141,ReAct,VIP,easy,1,5,5,5,100.0,100.0,True,True,,True,,100.0,1.0,0.0,1.0,75.0,query_order,query_order,True,False,True,False,50.0,26499,36.43,40.3,0,,71.8,71.8,99.9,-0.281
