w_outcome,w_tool,w_trajectory,w_efficiency,mean_ReAct,mean_PlanExecute,mean_Reflection,mean_Single_slot,rank1,rank2,rank3,rank4
0.05,0.05,0.05,0.85,92.93,94.45,32.18,84.67,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.05,0.1,0.8,91.19,94.57,36.0,85.4,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.05,0.15,0.75,89.45,94.69,39.82,86.13,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.05,0.2,0.7,87.7,94.81,43.64,86.86,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.05,0.25,0.65,85.96,94.93,47.46,87.59,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.3,0.6,84.21,95.05,51.25,88.32,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.35,0.55,82.47,95.17,55.04,89.05,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.4,0.5,80.72,95.29,58.83,89.79,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.45,0.45,78.98,95.41,62.62,90.52,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.5,0.4,77.24,95.53,66.4,91.25,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.55,0.35,75.49,95.65,70.19,91.98,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.05,0.6,0.3,73.75,95.77,73.98,92.71,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.65,0.25,72.0,95.89,77.76,93.44,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.7,0.2,70.26,96.01,81.55,94.17,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.75,0.15,68.51,96.14,85.34,94.9,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.8,0.1,66.77,96.26,89.12,95.63,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.05,0.85,0.05,65.03,96.38,92.91,96.36,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.05,0.8,90.42,93.25,34.39,83.99,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.1,0.1,0.75,88.68,93.37,38.21,84.72,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.1,0.15,0.7,86.93,93.49,42.03,85.45,PlanExecute,ReAct,Single-slot,Reflection
0.05,0.1,0.2,0.65,85.19,93.61,45.85,86.18,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.25,0.6,83.44,93.73,49.66,86.91,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.3,0.55,81.7,93.85,53.45,87.65,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.35,0.5,79.95,93.97,57.24,88.38,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.4,0.45,78.21,94.09,61.03,89.11,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.45,0.4,76.47,94.21,64.81,89.84,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.5,0.35,74.72,94.33,68.6,90.57,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.55,0.3,72.98,94.45,72.39,91.3,PlanExecute,Single-slot,ReAct,Reflection
0.05,0.1,0.6,0.25,71.23,94.57,76.17,92.03,PlanExecute,Single-slot,Reflection,ReAct
0.05,0.1,0.65,0.2,69.49,94.69,79.96,92.76,PlanExecute,Single-slot,Reflection,ReAct
